category,revenue
health_beauty,1440431.564
watches_gifts,1304842.73
bed_bath_table,1241288.92890476
sports_leisure,1156850.4202381
computers_accessories,1059052.1065
furniture_decor,904977.481549783
housewares,779316.761238095
cool_stuff,719330.4115
auto,685139.905833333
garden_tools,585833.879378788
toys,561175.16
baby,479608.1755
perfumery,454061.001666667
telephony,395819.29
office_furniture,341791.556428571
stationery,277814.637666667
pet_shop,254054.721666667
computers,231908.736666667
musical_instruments,210136.551666667
electronics,206800.9625
small_appliances,206499.746666667
fashion_bags_accessories,184299.12
consoles_games,177322.85
luggage_accessories,170636.725
construction_tools_construction,165782.986666667
home_appliances_2,123839.36
home_construction,96666.434
home_appliances,95002.11
furniture_living_room,86422.17
agro_industry_and_commerce,78379.19
home_confort,66761.37
fixed_telephony,64167.285
air_conditioning,61806.915
kitchen_dining_laundry_garden_furniture,58348.745
audio,56721.24
books_general_interest,56126.57
construction_tools_lights,50343.338
small_appliances_home_oven_and_coffee,50216.42
industry_commerce_and_business,47592.885
construction_tools_safety,44537.0
food,36774.9383333333
market_place,33888.8628571429
costruction_tools_garden,30409.1766666667
fashion_shoes,28481.64
drinks,28301.6583333333
art,28135.4125
signaling_and_security,28019.04
furniture_bedroom,24351.395
books_technical,23400.3
food_drink,19743.5983333333
costruction_tools_tools,17934.17
fashion_male_clothing,12950.22
christmas_supplies,12028.77
fashion_underwear_beach,11457.74
tablets_printing_image,8855.965
cine_photo,8141.49
dvds_blu_ray,7304.365
music,6760.725
furniture_mattress_and_upholstery,5998.54
books_imported,5408.84
party_supplies,5323.195
fashio_female_clothing,3423.495
fashion_sport,2701.49
la_cuisine,2398.015
arts_and_craftmanship,2186.27
diapers_and_hygiene,2141.27
flowers,1562.04857142857
home_comfort_2,1231.925
cds_dvds_musicals,954.99
fashion_childrens_clothes,677.235
security_and_services,324.51
